City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Palmerston,AU,88.93,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
151,Koumac,NC,83.7,broken clouds,-20.5667,164.2833,Le Monitel
152,Porto Novo,BJ,78.17,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
153,Inhambane,MZ,81.82,scattered clouds,-23.865,35.3833,Oceano
154,Ibra,OM,72.97,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
155,Inongo,CD,72.7,light rain,-1.95,18.2667,Hotel Du Lac
156,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
157,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
158,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
159,Road Town,VG,73.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
160,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
161,Tocopilla,CL,68.38,few clouds,-22.092,-70.1979,Hotel Galvarino
162,Sungaipenuh,ID,82.51,broken clouds,-2.0833,101.3833,penginapan citra alam
163,Grand Gaube,MU,84.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
164,Rabak,SD,75.31,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
165,Butajira,ET,67.41,broken clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
166,Pascagoula,US,66.2,overcast clouds,30.3658,-88.5561,Regency Inn
167,Jawhar,SO,81.12,clear sky,2.7809,45.5005,hantiwadaag village part one
168,Ishigaki,JP,69.96,overcast clouds,24.3448,124.1572,Ishigaki Resort Granvrio
169,Ipixuna,BR,75.15,broken clouds,-1.7625,-48.8043,Casa da Oscarina
